review_id,location,rating,review_date,review_text
11,Florida,4.0,2008-04-04,"I went with my friend to Universal and Islands of Adventure for 1 day. We bought an express pass since we knew we only had 1 day to do it all. The ""express"" lines seemed longer then the normal lines. I'm not sure the park keeps track of how many they sell. I wouldn't invest the extra money again. The mummy ride and MIB ride are both great."
12,Florida,2.0,2008-04-14,"We had two children with us when we visited Universal. I can say that had it been just adults it would have been a decent time but this park is just not very geared towards children. Yes, there are areas within the park that cater to little ones (though not too little, children under 5 years old would be hard pressed to find many rides they can go on) but overall having children with you won't work at this park. You are going to walk about a mile to get from the parking structures to the actual park entrance. They advertise motorized walkways but many were not on during the 3 days we went there. Then you are going to stand in ride for about an hour to go one a 90 second ride (hope the kids are patient to stand outside waiting for the adults since they cannot go on most of the rides). Also, DO NOT FALL FOR THE MEAL PASS. You pay $20.00 for an all you can eat for one day pass but there is only 4 places in the place that accept the pass and it takes about 40 minutes to get through the line to get food. Then the people that work at the places where you eat are nasty about portions and won't let you have enough to feed yourself and insist that you go through the 40 minute line again to get a (free) dessert to go with your dinner. All in all, you may have time and get a chance to eat about $10 worth of food and that is if you are willing to spend 90 minutes in a restaurant for each meal -which cuts time out of the day for standing in line at rides. You have to go through the 40 minute line just to get a free refill on your soda! NOT WORTH IT! If you are a family with kids go to Disney's Magic Kingdom. We were there for a 4 hour evening event (Pirate and Princess Party) and went on the same number of rides that we go to go on during 3 days at Universal. Plus, Disney had rides that little ones could go on. Skip Universal unless it is a really slow time of year. The staff is rude and can't muster a smile to save their lives and the lines are long. The food pass is a rip off."
13,Florida,5.0,2008-12-16,"We just got back from USO and IOA and it was great. (12/13-12/15) It was a ghost town! Most lines were only a 5 min wait, with the more popular rides (the Mummy, Shrek, The Simpsons) getting to be 30 mins or so. Stayed onsite so express pass :) With it we walked, and mean just walked onto all the attractions expect the simposons. We even rode the mummy a few times in a row by cutting through the child swap and flashing the hotel key.  I need to comment on the previous post however. The Meal Deal clearly states that it is for Burgers, Pizza, Drinks, ect. If you didnt read the pamphlet dont take it out on the park.  They had the Macys THanksgiving Parade there as well. It wasnt worth the hype, a few ballons and ballon floats but most of them were from parades in the past (like in the 80's) other then that the park used their own floats (the Mystery Machine) to fill in the parade.  All in all the park was great and Ill keep going back. Remember its not Disney so stop trying to compare them they are totaly different parks with different goals. So if your a disney person go there dont knock Universal for being different!"
14,Florida,5.0,2009-06-18,"We took our grand kids (teenagers) to Universal Studios as a side trip to the Magic Kingdom. Our grandkids both agreed that Universal was far better than Disney. Attraction wait lines were minimal and covered (no waiting in the sun). They fell in love with the Mummy and rode it several times. Disaster was amazing (great special effects), and all the shows were great! Universal has surpassed Disney as far as we're concerned. Not only in entertainment but also in cleanliness and food quality. We come to Orlando 3-4 times a year and Universal will be at the top of 'to do' list."
15,Florida,4.0,2009-06-28,"We visited with a 3-day combination pass for Universal and Islands of Adventure, with EXPRESS PASS, AND the MEAL DEAL included . All FREE for a bonus trip through my husbands company. YES...a great experience but I have a few things to point out. You MUST get the EXPRESS PASS if you are going to truly enjoy this park! I actually felt GUILTY walking to the head of the lines at times, and getting right on the rides! But if you DON'T have the pass, you waste SO much time waiting...up to 90 minutes waiting in line for a 3 minute long ride!! Life is TOO short! The MEAL DEAL is a good value...but the choices that they give are ALL JUNK FOOD!!! We had been doing the South Beach diet prior to our visit and it was simply IMPOSSIBLE to eat within the rules!! Pizza, nuggets, burgers, fries, desserts..and NO drinks included. We will SURVIVE three days of junk, but I am NOT looking forward to getting on the scales tomorrow after all of my hard work over the previous 3 weeks!!  Rides to NOT miss: Woody Woodpecker's Nuthouse Coaster....the BEST for the kids AND Parents!! Simpsons...Jimmy Neutron... E.T. . .(DEFINITE MUST!!!)... The Animal Actors on Location....it's a live animal show...they loved it! JAWS....LOUD, SMELLY, HOT, and somewhat scarey for a 5 and 7 year old. Somewhat entertaining for us adults that grew up watching the JAWS movies!!  Didn't get the chance to do Twister and Disaster...too intense for the kids...would liked to have done Shrek 4 D....no help on these.  Bottom line...get Express Pass, (it is included with some of the nearby hotels like Hard Rock Hotel)....GO EARLY, buy it with the combo pass to Islands of Adventure which is more catered to young children! Take a lanyard (strap around your neck with a clear see through pouch) for the Express passes...you need to show them again and again. Wear cool clothes and comfortable sneakers with socks!! Have fun!!!!"
16,Florida,1.0,2009-07-23,"park is no good for for small kids, very long walk from car, ET broke down so to did jaws, only good thing there was shrek 4d, food was poor, disney studios is much better, dont waste your money"
17,Florida,1.0,2009-08-27,"What a waste of time and money. For the fortune it cost to get in and the WAY TOO HIGH cost of a Fast Pass, that isn't fast at all, you would be better off going somewhere else. In fact anywhere else. The rides are all outdated (the one new ride didn't even except the fast pass and there was a TWO HOUR WAIT. I was with adults, children and teens and not one of us had a good time. So don't waste yours. We were at the park on Friday, August 21, 2009."
18,Florida,3.0,2009-11-01,"After taking 2 trips to WDW, we decided to hit Universal (both parks) and Seaworld. Islands of Adventure, was a bit boring to us. The Spiderman ride was fun. We went on the Dueling Dragons ""Fire"". It was okay, but Kracken at Seaworld is better. None of the shows where playing so we headed over to the main park, Universal. We enjoyed most of the rides, but find the people to be unfriendly at both parks. Our favorite part was the Scary Movie Make-up Show. We may take another 1 day visit after the new Harry Potter area opens... maybe. Everyone should visit, even if just 1 time."
19,Florida,2.0,2009-11-02,"Some of these rides are really feeling their age, they are based on films that I would think most visitors under 20 wouldn't have heard of. My overiding feeling was of being underwhelmed and saying 'was that it??' The newest ride, the RockIt coaster which lets you choose your own soundtrack was a HUGE disappointment! I would definitely not recommend queuing for it. Didn't have time to select a song before it started so got some rubbish techno, the ride was dull and banged my head around a lot. And to top if off the cameras were broken so couldn't see the video of us riding. I'd say skip this park altogether and just go to Islands - the rides there are a million times better! Hulk is my favourite coaster ever."
20,Florida,2.0,2009-11-29,"I have been to Disney World many times so I thought I would give this park a try, just to see if I may also enjoy it. Our day started out bad and didn’t get much better. We went the Friday after Thanksgiving and found it to be not all that busy. Because of this, they had only ONE ticket stand open for those who wanted to purchase tickets there before park opened. Only five ticket purchases where in front of us. A half hour wait and the park was opening but we still did not make it to the ticket window. They finally did open a second window but the people all behind us in line moved over to that window.  Once in, the first ride we went to had an announcement saying because they were running ride at lesser capacity, the wait will be longer than usual. Park opened at 9am but some things inside did not open until after 10am. The Mummy ride was not open yet at 10:30 and the worker next to it said they do not have an estimated time of when ride will start. At one of the restaurants, they had only one person taking orders. Only until the line began to grow way beyond her ability, did they open two more stations. At night, place is poorly lit. POOR, POOR, POOR customer service at this park which is why I will not return here.  Not impressed with the rides in comparison to Disney. At least 5 rides we went on were mainly watching a movie and the seat moved or wet stuff hit you to make you feel you were there. That is ok for one or two rides but not be the majority. The best of these was the Simpsons because the visuals surrounded you. The Mummy ride was impressive but way too short. Glad the most we waited was 45min for this. Even that was too long for the seconds the ride lasted. In all, I would say the rides are OK. Some things are kind of cool but you get much more bang for you buck at WDW."
21,Florida,5.0,2010-01-01,"We are annual pass holders and I am amazed at some of the negative comments on here. Our kids are older (teens), so we really enjoy Universal and it runs circles around Disney. We have thought so for years - even when our kids were younger. The price for regular admission is such a bargain compared to WDW and their FastPass system is just a joke. I recommend either staying on the Universal property so the Express Pass is included in your stay (your room key becomes your Express Pass and is good for unlimited trips through each ride) or buying the Express Pass. I do recommend Spring or Fall to avoid the crowds, but we just spent NYE there and it was crowded, but wonderful.  Only negative regarding the park is that the new Rip Ride Rocket line is ridiculously long, even for single riders. There is no Express Pass option for this ride, so if you want to do it, you have quite a time commitment involved. I saw many improvements that could be made to that particular ride's operation (more cars, quicker turn around between cars, Express Pass option, etc), but that is my only negative comment on either park.  It is an incredible value for the entire family and we prefer it hands down to WDW!"
22,Florida,2.0,2010-01-20,"Right off the bat, you get squeezed 12.00 for parking. Tickets into the park(s) were grossly overpriced.  Many of the workers could use some type of training in customer service. We didn't see very many of them smiling, either. A few of them were helpful but the majority seemed unhappy.  Their system of scanning fingerprints and ticket barcodes to enter the park was terribly inefficient.  It rained the day we were there and the leaks were unbelievable. I mean, there were leaks INSIDE several buildings. My kid was next in line to have his picture taken with Sponge Bob in the gift shop - which, of course, was strategically placed at the end of a ride (Jimmy Neutron, I think) - when one of the workers started yelling about a leak. The leak formed a large pool of water on the floor, ending the photo op. There were also leaks - I mean, really big leaks - from overhead coverings when standing in line at several rides. How could that be? It certainly wasn't the first time it ever rained in Florida. Shouldn't Universal have addressed those issues?  The lines weren't long but this was more than likely due to the weather.  The food at Mel's Diner was overpriced. The shakes weren't bad but our burgers were very dry. There were barely enough tables in there to seat all of the people who were eating.  The management of the Men In Black Alien Encounter (or whatever) was extremely poor. As we were getting in line, we were told that all bags had to be stored in small lockers off to the side. This meant getting out of line and walking over to the lockers which didn't have a direct route and was a total mob scene with everyone and their proverbial brother trying to get a locker and narrow walkways. The hold-up was that you are assigned a locker by entering information onto a touch screen. There were two screens that I saw and a mob of people trying to get at them. No workers were around to help or control the scene. No lines. Just a mass of people trying to get to the screens. Plus, part of the deal was that you hadda get your finger scanned. After the ride, it was much of the same. You hadda go to one of the screens and press some buttons to access your locker. To give you a better idea of what a mess this was, after punching in the requested information, a light on your locker goes on which, I guess, helps you locate it quickly. My locker was more than a few feet away from the screen. After I entered my information, the light went on and before I could get to it, some kid saw the light and opened my locker. Now, once the locker is shut you can't get it open. The system ""thinks"" you removed your belongings. So the girl saw something in the locker and started to shut it and I hadda yell for her to stop before the door closed. What a mess. Oh, and if you don't retrieve your belongings within 45 minutes or so, you have to pay to get your belongings back!  I will say that many of the rides we went on were clever and interesting. This includes Jimmy Neutron, Shrek, Men in Black, Simpsons (which was in the old Back to the Future building, I think), Terminator and Spiderman. ET was so boring that it was painful. And so was the Storm Accelertron (sp?). While on the subject, we thought that many of the Universal rides were blatant knock-offs of Disney rides. ET was like a cross between Peter Pan and Small World; Storm was pretty much the same as the Mad Tea Cup; and Men in Black was like Buzz Lightyear.  I can't imagine us going back again. In fact, the only reason why we went was because my wife got a free ticket as a promotion by Universal during this year's Super Bowl. (Remember the Denny's free breakfast promo?)"
23,Florida,4.0,2010-02-16,"Years ago, I visited Univesal Studios with my husband and although the day was enjoyable, I mostly remember the line-ups. So many line-ups.  Today, with our three year-old daughter in tow, I can honestly say it was well worth the money. The Woody Woodpecker Kidzone was fabulous. She sang and danced at A Day in the Park with Barney, we spent an hour in both Curious George Goes to Town and Fievel's Playland, the line-up for Woody Woodpecker's Nuthouse Coaster was relatively quick (even on President's Day), and she enjoyed the Animal Actors show so much that we attended it twice! We also took in Shrek 4-D, and although I enjoyed it, I think it was a bit too scary for young children. All in all, a great day."
24,Florida,5.0,2010-03-21,"We loved Universal! I admit the lines are long, but aren't they always? My family liked it better than Disney and Sea World. Do you think Disney is going to have shorter lines? We could barely see the parade there!"
25,Florida,4.0,2010-06-09,There are some really great and innovative attractions here such as the recently opened Rip Ride and Rockit and also Shrek 4D and the Simpsons ride. There is plenty of film memorabillia around the park such as the Delorian from Back to the Future. There are aslo some good classic rides such as Jaws and ET. This was really quite when we visisted in November and with minimal queues you can do this in about half a day and even when it is busy I think you can probably do everything you want to do in a day. This is a really fun place and is mainly geared to older children and adults.
26,Florida,1.0,2010-07-19,"Granted, I am a bit biased- this was my sixth vacation to Orlando to visit Walt Disney World. Once before I went to Universal Studios, but it was a fairly uneventful trip and, at the time, I was disappointed to not visit the Islands of Adventure theme park. This time, however, we decided to take the extra trip away from Disney and go to Universal's Islands of Adventure with the main purpose of seeing the new Wizarding World of Harry Potter attractions. Boy, was this excursion a complete waste of money. I spent $174 for two tickets into this terrible park and, in the course of five hours, rode only two rides. The Harry Potter world was small, ridiculously crowded with no guest control and no directions. There were a hundred signs between Minnesota and Florida advertising this new attraction, but once you get into the park there is NOT ONE SIGN to lead you through their confusing paths to get to the Harry Potter section. Once we find our way, we wait in line at the Hogwarts Castle attraction for an hour- people crowded and bottlenecked into a shrinking room with no arranged line- walked through the bottom level of the castle, saw some stupid ""sculpture"" and a fake prop or two, and exited the line due to its lack of movement. Apparently, the ride had been broken all day. The other rides had terrible signage- you never really know which ride you are on line for. To make the experience worse, there were 30-minute-PLUS lines TO GET INTO THE SHOPS! Absolutely ridiculous. Universal obviously has no idea how to plan a park or have any type of crown control. Their ticket prices are also ridiculous- they do not offer nearly as many parks or amenities as Disney, yet they charge the same as Disney with the exception of their Express option. This is like Disney's ""FastPass"" with some differences: first- Universal CHARGES EXTRA ($55) for this option unlike Disney, which is free; second- there is no crowd control on their Express- hundreds of people can purchase this option and all rush to the Express lines, making the wait for an Express longer than stand-by... AND THEY CHARGE EXTRA FOR THIS! Needless to say, I felt that I wasted enough money on Universal to not spend anything else there. The only reason to put up with all of Universal's shortcomings is for the few thrill-rides they have- but those few are not really worth the disappointment (and I'm a roller coaster fanatic!). So, if you're trying to decided where to go for your Orlando vacation, I can say with complete confidence that Walt Disney World will never disappoint. With a Park Hopper +Water Park ticket, you get unlimited access to four theme parks, two water parks, DisneyQuest, transportation, and so much more! There is definitely something for everyone, and everything is easy to find, each and every thing is themed perfectly to the finest detail, and everyone there- including the staff- are all happy to be there. Trust me... you won't regret going to Disney."
27,Florida,4.0,2010-07-27,"I have mixed feelings about this section of Universal/Islands of Adventure. In some ways, they did a really good job with the design. Hogwarts looks really great but at the same time disappointing because of the significantly smaller scale they built it on. They situated it so you are looking up at it and this makes it look larger, and I am sure space was a factor, but still it is a bit disappointing on size. You don't actually go inside the castle for the ride, but it does make it appear that you are. The immediate outside waiting area is set up to resemble the greenhouses. When you go inside, you get the feeling of being in the castle and there are a lot of nice effects. They have the hour glasses counting the house points, but again to me they were on the small size and not very impressive. It includes a view into Dumbledore's office and a classroom. The ride loading area looks like the great hall complete with floating candles. There are some nice effects where you seem to actually see Dumbledore, Harry, Hermione, and Ron. The best effect imo are the paintings. They are cool, look like paintings with brushstrokes, etc. but move and talk. The ride itself is good, lots of thrills. We tried to time our two rides at about 9:30 p.m. before closing. This worked one time on Sunday night with a wait of about 30 minutes, but did not work the second time on Thursday night with about a 90 minute wait plus a ride malfunction which stopped the line two different times. The lockers are a bit of a pain as someone else commented, and I saw one woman who could not get her locker open after the ride because it did not seem to recognize her fingerprint.  The gift shop was not conveniently located and they should have made it much larger with much more merchandise to chose from. Hogsmeade is nice to look at, with snow on the rooftops, but again it is on a much too-small scale imo. The shops of Ollivander's and Honeyduke's were wayyyy too small, they would let in a certain number at a time and the lines to get in were horrendous. After our second ride on Thursday night, the park workers had made everyone who was not waiting for the ride leave the area because it was so late, and we were able to walk right into Honeyduke's and look around. Chocolate frogs are over $10 for one. We got into the Owl Post for a quick look - again, not well set up and much too small imo. A few stuffed owls sitting up high, a shelf or two with packages piled up, but the shelves below appeared to be filled with wand boxes. The singing frogs from one of the movies were cute, but they should have them stand on a raised platform. They stand on the ground inside a little fence and the only people who can see at all are the ones right at the front by the fence - no one else has a chance. Butterbeer can be purchased in a regular cup for $3.99 or a souvenir cup for over $10. My 2 cents on the taste is that it is like a butterscotch cream soda with a foam on top. So overall, I did like it and enjoy Harry Potter World, but at the same time it did not measure up to what I was hoping it would be like."
28,Florida,1.0,2010-08-01,"My family stopped en route back from a powerlifting tournament in West Palm Beach. Now, I'll admit that our entire family is larger than normal, but NONE of us has had a problem getting on rides at Disneyworld, Six Flags (Batman ride was close because of my height), or any fairs or festivals.  Because we only had one day, and have never been to Universal, we decided to spend our money there instead of Disney for a change. $345 for a family of four for a one park, one day pass (highway robbery, but Disney was the same price!!).  The kids selected Islands of Adventure because they like the rough rides. Line for Harry Potter was 2-hours as expected in July, but it seemed well organized with a park employee holding a sign to mark the end of the line. The employee also suggested getting in line after 3pm because it is much shorter. They even give you tickets half-way along to indicate any line jumpers.  Our first ride we tried to get on was the River Adventure in Jurassic Park...after 30 minutes of waiting, the ride broke. Nobody could give us an idea of how much longer it would be. Being we were towards the front of the line, we waited another 20 minutes. We asked again how much longer...5 minutes? 30 minutes? 3 hours? Nobody knew. There were no misters to keep everyone cool, so we decided to get out of line. As we were walking out the exit, the ride started back-up (grrrrrrr).  After getting drinks, Harry Potter line was much shorter. Got in line and was in Harry Potter area within 30 minutes. The line is not for a ride per se...it's just to get into the area!! Once you are in, it's a free for all! Lines abounded to poorly labeled rides/shops/etc. First ride we tried to get on was the Dragon Challenge roller coaster. Employee at the entrance said we had to sit in the test seats. Test seats?? Sure enough there were test seats for ""Guests with certain body types"". NONE of us fit in them...including my 13 year old daughter. Flight of the Griffendorf ride is LAME! The Harry Potter and the Forbidden Journey ride had test seats too (no dice). WARNING...there are NO indications on the Universal park maps or on their web site WHICH rides have the test seats. Had we known THIS many rides had them, we could have made a more informed decision about where to spend our money (which is prompting a nasty letter from me to Universal).  Went back to River Adventure in Jurassic Park and it was working (ride #1).  Next tried to ride the Ripsaw Falls water ride in Toon Town. Guess what??? Test seat!! We could get in but you had to put your feet so close to your body that your knees were in your chest!! We decided to wait in line anyway. After an hour of waiting in the extreme heat (misters were not working and line area before going to inside qeue had NO misters and was enclosed so there was no breeze)...guess what BROKEN!!! The employees in the ride were making announcements, but they never turned the music down in the ride...so all you heard was mumbled jibberish. It was only after the third announcement could we make out the phrase ""technical problems"".  Went to Spider Man ride in the the Super Hero area. Got on the ride, but guess what??? It malfunctioned!! They let us jump back on again and it worked the second time around (ride #2 and 3?)  Test seats on Hulk coaster and Dr Doom Drop (no dice). The kids did get to ride Storm Force Accelatron (wife and I were so mad at this point we didn't want to ride) (ride #4). Both claimed it was lame (Tilt a Whirl at a fair was more exciting).  We had planned to leave at 6:00 anyway due to dinner reservations...so $345 and 8 hours later...we rode 3-4 rides due to time wasted to malfunctioning rides and size limitations.  I will NEVER go to this park again...even at my optimum weight because I would STILL not be able to fit on these rides."
