customer_id,contract,internet_service,tech_support,payment_method,paperless_billing,churn
6572-ADKRS,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
5380-WJKOV,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8168-UQWWF,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
8865-TNMNX,One year,DSL,No,Mailed check,No,No
9489-DEDVP,Two year,DSL,No,Credit card (automatic),Yes,No
9867-JCZSP,One year,No,No internet service,Mailed check,No,No
4671-VJLCL,Two year,DSL,Yes,Credit card (automatic),Yes,No
4080-IIARD,Month-to-month,DSL,Yes,Electronic check,Yes,No
3714-NTNFO,Month-to-month,Fiber optic,No,Electronic check,Yes,No
5948-UJZLF,Month-to-month,DSL,No,Mailed check,No,No
7760-OYPDY,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7639-LIAYI,Two year,DSL,Yes,Credit card (automatic),Yes,No
2954-PIBKO,Two year,DSL,Yes,Credit card (automatic),Yes,No
8012-SOUDQ,Month-to-month,Fiber optic,No,Electronic check,Yes,No
9420-LOJKX,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,Yes
6575-SUVOI,Month-to-month,DSL,Yes,Credit card (automatic),Yes,No
7495-OOKFY,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,Yes
4667-QONEA,One year,DSL,Yes,Credit card (automatic),Yes,No
1658-BYGOY,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8769-KKTPH,One year,Fiber optic,No,Credit card (automatic),Yes,No
5067-XJQFU,One year,Fiber optic,Yes,Electronic check,Yes,No
3957-SQXML,Two year,No,No internet service,Credit card (automatic),No,No
5954-BDFSG,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
0434-CSFON,Month-to-month,Fiber optic,No,Electronic check,Yes,No
1215-FIGMP,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
0526-SXDJP,Two year,DSL,No,Bank transfer (automatic),No,No
0557-ASKVU,One year,DSL,Yes,Credit card (automatic),Yes,No
5698-BQJOH,Month-to-month,Fiber optic,No,Electronic check,No,Yes
5122-CYFXA,Month-to-month,DSL,Yes,Electronic check,Yes,No
8627-ZYGSZ,One year,Fiber optic,No,Electronic check,Yes,No
3410-YOQBQ,Two year,DSL,Yes,Mailed check,No,No
3170-NMYVV,Two year,No,No internet service,Bank transfer (automatic),No,No
7410-OIEDU,Month-to-month,Fiber optic,No,Mailed check,Yes,No
2273-QCKXA,Month-to-month,DSL,Yes,Mailed check,No,No
0731-EBJQB,One year,No,No internet service,Electronic check,Yes,No
1891-QRQSA,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
8028-PNXHQ,Two year,No,No internet service,Bank transfer (automatic),Yes,No
5630-AHZIL,Month-to-month,DSL,Yes,Bank transfer (automatic),Yes,No
2673-CXQEU,One year,Fiber optic,No,Electronic check,No,No
6416-JNVRK,One year,DSL,No,Credit card (automatic),No,No
5590-ZSKRV,Month-to-month,DSL,No,Mailed check,No,No
0191-ZHSKZ,Month-to-month,DSL,No,Electronic check,Yes,No
3887-PBQAO,One year,No,No internet service,Credit card (automatic),Yes,No
5919-TMRGD,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8108-UXRQN,Month-to-month,DSL,No,Electronic check,No,No
9191-MYQKX,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
9919-YLNNG,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes,No
0318-ZOPWS,Two year,No,No internet service,Bank transfer (automatic),Yes,No
4445-ZJNMU,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
4808-YNLEU,One year,DSL,No,Bank transfer (automatic),Yes,No
1862-QRWPE,Two year,No,No internet service,Bank transfer (automatic),No,No
2796-NNUFI,Two year,No,No internet service,Mailed check,Yes,No
3016-KSVCP,Month-to-month,DSL,No,Mailed check,No,No
4767-HZZHQ,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,No
2424-WVHPL,Month-to-month,Fiber optic,Yes,Electronic check,No,No
7233-PAHHL,Two year,DSL,Yes,Mailed check,Yes,No
6067-NGCEU,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
9848-JQJTX,Two year,Fiber optic,No,Bank transfer (automatic),Yes,No
8637-XJIVR,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
9803-FTJCG,One year,DSL,Yes,Credit card (automatic),Yes,No
0278-YXOOG,Month-to-month,No,No internet service,Mailed check,No,Yes
3212-KXOCR,Two year,No,No internet service,Bank transfer (automatic),No,No
4598-XLKNJ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6380-ARCEH,Month-to-month,No,No internet service,Mailed check,No,No
3679-XASPY,Month-to-month,No,No internet service,Electronic check,No,No
7123-WQUHX,One year,Fiber optic,Yes,Bank transfer (automatic),No,No
5386-THSLQ,One year,DSL,No,Bank transfer (automatic),No,No
3192-NQECA,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes
6180-YBIQI,Month-to-month,DSL,No,Mailed check,No,No
6728-DKUCO,One year,Fiber optic,No,Electronic check,Yes,No
9750-BOOHV,One year,DSL,No,Mailed check,No,No
8597-CWYHH,One year,Fiber optic,No,Mailed check,No,No
2848-YXSMW,Two year,No,No internet service,Credit card (automatic),No,No
0486-HECZI,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4549-ZDQYY,One year,DSL,Yes,Credit card (automatic),No,No
5712-AHQNN,Month-to-month,Fiber optic,No,Electronic check,Yes,No
4846-WHAFZ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
5256-SKJGO,Two year,DSL,Yes,Electronic check,Yes,No
3071-VBYPO,Month-to-month,Fiber optic,No,Electronic check,No,No
9560-BBZXK,Two year,DSL,No,Bank transfer (automatic),No,No
5299-RULOA,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8402-OOOHJ,Two year,No,No internet service,Mailed check,No,No
9445-ZUEQE,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
1091-SOZGA,One year,Fiber optic,No,Credit card (automatic),Yes,No
2928-HLDBA,Month-to-month,No,No internet service,Mailed check,No,No
0404-SWRVG,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6497-TILVL,Month-to-month,DSL,No,Mailed check,No,No
7219-TLZHO,Month-to-month,No,No internet service,Mailed check,No,No
4622-YNKIJ,Two year,Fiber optic,Yes,Electronic check,Yes,No
4412-YLTKF,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6734-PSBAW,Two year,No,No internet service,Bank transfer (automatic),Yes,No
3930-ZGWVE,Month-to-month,No,No internet service,Mailed check,No,No
2639-UGMAZ,One year,DSL,No,Electronic check,Yes,No
2876-GZYZC,Month-to-month,Fiber optic,No,Electronic check,Yes,No
6207-WIOLX,Month-to-month,DSL,No,Credit card (automatic),Yes,Yes
8587-XYZSF,Two year,DSL,Yes,Bank transfer (automatic),No,No
3091-FYHKI,Month-to-month,DSL,No,Electronic check,Yes,Yes
2372-HWUHI,Month-to-month,DSL,No,Electronic check,No,Yes
7799-LGRDP,Two year,No,No internet service,Credit card (automatic),Yes,No
7850-VWJUU,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
3774-VBNXY,Two year,No,No internet service,Mailed check,No,No
6217-KDYWC,Two year,No,No internet service,Mailed check,Yes,No
0390-DCFDQ,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
3146-MSEGF,Two year,DSL,Yes,Credit card (automatic),Yes,No
4080-OGPJL,Month-to-month,DSL,Yes,Electronic check,No,Yes
1095-WGNGG,Two year,Fiber optic,No,Bank transfer (automatic),Yes,No
2636-SJDOU,One year,Fiber optic,No,Credit card (automatic),Yes,No
1131-QQZEB,Two year,No,No internet service,Bank transfer (automatic),No,No
5716-EZXZN,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
6837-BJYDQ,One year,No,No internet service,Mailed check,No,No
2135-RXIHG,Month-to-month,DSL,No,Electronic check,Yes,Yes
6440-DKQGE,One year,DSL,No,Credit card (automatic),No,No
3466-BYAVD,Month-to-month,DSL,Yes,Mailed check,Yes,No
3780-YVMFA,Month-to-month,DSL,Yes,Electronic check,Yes,No
3874-EQOEP,Month-to-month,Fiber optic,No,Mailed check,No,Yes
1679-JRFBR,One year,Fiber optic,No,Credit card (automatic),Yes,No
9073-ZZIAY,Two year,DSL,Yes,Electronic check,No,No
3077-RSNTJ,Month-to-month,No,No internet service,Mailed check,No,No
6551-GNYDG,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
9167-APMXZ,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
2749-CTKAJ,One year,No,No internet service,Mailed check,No,No
6371-NZYEG,Two year,DSL,No,Mailed check,No,No
7554-NEWDD,Two year,No,No internet service,Bank transfer (automatic),No,No
8992-VONJD,Month-to-month,DSL,No,Electronic check,Yes,No
0867-MKZVY,Month-to-month,Fiber optic,No,Electronic check,No,Yes
4482-EWFMI,Month-to-month,Fiber optic,No,Electronic check,Yes,No
4648-YPBTM,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
2907-ILJBN,One year,No,No internet service,Mailed check,No,No
6345-FZOQH,Two year,No,No internet service,Mailed check,No,No
3376-BMGFE,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
5997-OPVFA,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
3445-HXXGF,Month-to-month,DSL,No,Electronic check,Yes,Yes
1159-WFSGR,Month-to-month,No,No internet service,Electronic check,No,No
7654-YWJUF,One year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
1875-QIVME,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes
6727-IOTLZ,Two year,DSL,Yes,Mailed check,No,No
0691-JVSYA,One year,Fiber optic,No,Bank transfer (automatic),Yes,Yes
5918-VUKWP,One year,No,No internet service,Bank transfer (automatic),No,No
1744-JHKYS,Month-to-month,No,No internet service,Electronic check,No,No
2656-FMOKZ,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
2070-FNEXE,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,Yes
5947-SGKCL,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
3712-PKXZA,One year,No,No internet service,Credit card (automatic),Yes,No
6317-YPKDH,Month-to-month,DSL,No,Bank transfer (automatic),No,Yes
6582-OIVSP,Month-to-month,DSL,No,Mailed check,No,No
9367-WXLCH,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,Yes
5524-KHNJP,One year,DSL,No,Credit card (automatic),No,No
1918-ZBFQJ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
1024-GUALD,Month-to-month,DSL,No,Electronic check,Yes,Yes
4827-USJHP,Month-to-month,DSL,No,Mailed check,Yes,No
8167-GJLRN,Month-to-month,DSL,Yes,Electronic check,No,No
0956-SYCWG,One year,No,No internet service,Electronic check,No,No
8017-UVSZU,Month-to-month,DSL,No,Credit card (automatic),No,No
7100-FQPRV,One year,DSL,Yes,Credit card (automatic),Yes,No
2472-OVKUP,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
2984-RGEYA,Two year,No,No internet service,Bank transfer (automatic),No,No
9680-NIAUV,Two year,Fiber optic,No,Credit card (automatic),No,No
2146-EGVDT,Two year,No,No internet service,Credit card (automatic),No,No
2604-IJPDU,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
9178-JHUVJ,Two year,No,No internet service,Bank transfer (automatic),Yes,No
6168-YBYNP,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
7255-SSFBC,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
3645-DEYGF,Month-to-month,No,No internet service,Mailed check,No,No
9323-HGFWY,One year,Fiber optic,Yes,Credit card (automatic),Yes,No
8544-GOQSH,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
3363-DTIVD,Two year,Fiber optic,No,Electronic check,No,No
7018-WBJNK,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
9142-KZXOP,Month-to-month,Fiber optic,No,Credit card (automatic),No,No
7674-YTAFD,One year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
6348-SNFUS,Two year,DSL,Yes,Credit card (automatic),Yes,No
1285-OKIPP,Month-to-month,Fiber optic,No,Electronic check,No,Yes
7825-ECJRF,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes
1347-KTTTA,One year,Fiber optic,Yes,Credit card (automatic),Yes,No
7841-TZDMQ,Month-to-month,DSL,No,Credit card (automatic),Yes,Yes
4195-NZGTA,Month-to-month,DSL,No,Electronic check,No,No
7157-SMCFK,Two year,No,No internet service,Mailed check,No,No
4709-LKHYG,One year,No,No internet service,Electronic check,No,No
2504-DSHIH,Month-to-month,Fiber optic,No,Electronic check,No,No
0699-NDKJM,Month-to-month,DSL,No,Bank transfer (automatic),Yes,No
9286-BHDQG,Two year,DSL,Yes,Credit card (automatic),No,No
0230-WEQUW,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
2040-LDIWQ,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
6496-JDSSB,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
9408-SSNVZ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4443-EMBNA,Two year,No,No internet service,Bank transfer (automatic),No,No
6469-MRVET,One year,No,No internet service,Electronic check,Yes,No
0742-MOABM,Month-to-month,DSL,Yes,Mailed check,No,Yes
5961-VUSRV,One year,No,No internet service,Bank transfer (automatic),Yes,No
6778-JFCMK,One year,DSL,No,Mailed check,Yes,No
6341-JVQGF,One year,DSL,Yes,Mailed check,Yes,No
2232-DMLXU,Month-to-month,DSL,No,Mailed check,No,Yes
4811-JBUVU,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
0945-TSONX,Two year,DSL,Yes,Credit card (automatic),Yes,No
2651-ZCBXV,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
3316-UWXUY,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
8937-RDTHP,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
7083-MIOPC,Two year,No,No internet service,Credit card (automatic),No,No
1984-GPTEH,Month-to-month,No,No internet service,Electronic check,No,No
1251-KRREG,Month-to-month,DSL,No,Mailed check,Yes,Yes
0621-JFHOL,Two year,DSL,Yes,Mailed check,Yes,No
9903-LYSAB,Month-to-month,Fiber optic,No,Electronic check,Yes,No
0094-OIFMO,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
9227-UAQFT,Two year,No,No internet service,Mailed check,No,No
7301-ABVAD,Two year,DSL,Yes,Bank transfer (automatic),No,No
6614-FHDBO,Two year,Fiber optic,Yes,Bank transfer (automatic),No,No
7576-ASEJU,One year,DSL,Yes,Credit card (automatic),Yes,No
9058-HRZSV,Month-to-month,Fiber optic,No,Electronic check,No,No
4522-AKYLR,Month-to-month,DSL,No,Electronic check,Yes,No
0221-WMXNQ,Month-to-month,Fiber optic,No,Electronic check,No,No
0303-UNCIP,One year,DSL,No,Mailed check,No,No
9947-OTFQU,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
0322-YINQP,Month-to-month,DSL,No,Mailed check,Yes,Yes
0959-WHOKV,One year,Fiber optic,No,Electronic check,Yes,No
4075-JFPGR,One year,Fiber optic,No,Electronic check,Yes,No
4629-NRXKX,Month-to-month,Fiber optic,No,Electronic check,No,Yes
9514-JDSKI,Month-to-month,DSL,No,Electronic check,No,Yes
3282-ZISZV,One year,DSL,Yes,Credit card (automatic),No,No
3675-YDUPJ,Month-to-month,No,No internet service,Mailed check,Yes,No
4111-BNXIF,Two year,DSL,Yes,Electronic check,Yes,No
7017-VFHAY,Two year,Fiber optic,Yes,Credit card (automatic),No,No
6655-LHBYW,One year,Fiber optic,Yes,Credit card (automatic),No,No
4959-JOSRX,Month-to-month,DSL,No,Credit card (automatic),Yes,Yes
5046-NUHWD,Month-to-month,DSL,No,Electronic check,Yes,No
7273-TEFQD,Month-to-month,DSL,No,Electronic check,Yes,Yes
3606-TWKGI,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7529-ZDFXI,Month-to-month,Fiber optic,No,Electronic check,Yes,No
7605-BDWDC,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
1950-KSVVJ,One year,Fiber optic,Yes,Mailed check,No,No
0123-CRBRT,Two year,DSL,Yes,Mailed check,No,No
6292-TOSSS,Two year,No,No internet service,Bank transfer (automatic),No,No
3197-ARFOY,Month-to-month,Fiber optic,Yes,Mailed check,Yes,No
6323-AYBRX,Two year,No,No internet service,Mailed check,No,Yes
7014-ZZXAW,Two year,No,No internet service,Credit card (automatic),Yes,No
4385-GZQXV,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes
7633-MVPUY,Two year,DSL,Yes,Electronic check,Yes,No
6366-ZGQGL,Month-to-month,DSL,No,Bank transfer (automatic),No,Yes
4716-HHKQH,Month-to-month,Fiber optic,Yes,Electronic check,No,No
5940-AHUHD,Month-to-month,Fiber optic,No,Mailed check,No,Yes
6432-TWQLB,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes
4484-GLZOU,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
3179-GBRWV,Month-to-month,DSL,No,Bank transfer (automatic),Yes,No
8645-KWHJO,Month-to-month,DSL,Yes,Electronic check,Yes,No
4130-MZLCC,Month-to-month,DSL,No,Bank transfer (automatic),No,No
0314-TKOSI,Month-to-month,DSL,No,Mailed check,No,No
8229-MYEJZ,Month-to-month,DSL,No,Electronic check,No,No
2080-SRCDE,Month-to-month,No,No internet service,Mailed check,No,No
9577-WJVCQ,Month-to-month,DSL,No,Mailed check,No,No
9512-UIBFX,Month-to-month,Fiber optic,No,Mailed check,No,Yes
6202-DYYFX,One year,Fiber optic,No,Credit card (automatic),Yes,No
3808-HFKDE,Month-to-month,DSL,No,Electronic check,Yes,No
5583-SXDAG,Month-to-month,Fiber optic,No,Electronic check,No,Yes
3488-PGMQJ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
3580-REOAC,Month-to-month,DSL,No,Credit card (automatic),Yes,Yes
7534-BFESC,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
3727-OWVYD,One year,DSL,No,Mailed check,No,No
2294-SALNE,One year,Fiber optic,Yes,Mailed check,No,No
4847-TAJYI,Month-to-month,Fiber optic,No,Electronic check,Yes,No
1563-IWQEX,Month-to-month,No,No internet service,Mailed check,No,No
8203-XJZRC,Month-to-month,No,No internet service,Mailed check,No,No
6556-DBKZF,Two year,Fiber optic,No,Electronic check,No,No
6851-WEFYX,Month-to-month,Fiber optic,No,Electronic check,Yes,No
2985-JUUBZ,Month-to-month,DSL,No,Electronic check,Yes,No
6390-DSAZX,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
0895-LMRSF,One year,DSL,No,Bank transfer (automatic),Yes,No
8098-LLAZX,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8266-VBFQL,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
8181-YHCMF,Two year,DSL,Yes,Credit card (automatic),No,No
2240-HSJQD,Month-to-month,Fiber optic,No,Mailed check,Yes,No
1248-DYXUB,Two year,No,No internet service,Mailed check,No,No
0265-EDXBD,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4115-BNPJY,Two year,DSL,Yes,Mailed check,No,No
3167-SNQPL,Month-to-month,Fiber optic,No,Electronic check,No,No
4091-TVOCN,One year,DSL,No,Credit card (automatic),Yes,No
1098-TDVUQ,Month-to-month,No,No internet service,Bank transfer (automatic),Yes,No
7277-OZCGZ,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
1557-EMYVT,Two year,Fiber optic,Yes,Credit card (automatic),No,No
2799-ARNLO,Month-to-month,Fiber optic,No,Electronic check,Yes,No
7563-BIUPC,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
5027-YOCXN,One year,Fiber optic,Yes,Credit card (automatic),No,No
3973-SKMLN,Two year,No,No internet service,Credit card (automatic),Yes,No
2321-OMBXY,One year,DSL,Yes,Credit card (automatic),No,Yes
2840-XANRC,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6745-JEFZB,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
5020-ZSTTY,One year,DSL,Yes,Bank transfer (automatic),No,Yes
9880-TDQAC,Two year,DSL,Yes,Electronic check,Yes,No
8705-WZCYL,Month-to-month,DSL,No,Electronic check,Yes,No
7102-JJVTX,One year,DSL,No,Mailed check,No,No
8626-PTQGE,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
4983-CLMLV,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
5701-YVSVF,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
5804-LEPIM,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
5697-GOMBF,Month-to-month,DSL,No,Electronic check,Yes,No
2739-CACDQ,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
9385-EHGDO,Two year,No,No internet service,Mailed check,Yes,No
9498-FIMXL,One year,No,No internet service,Mailed check,Yes,No
2379-GYFLQ,One year,Fiber optic,No,Credit card (automatic),Yes,No
0122-OAHPZ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
2868-SNELZ,Month-to-month,Fiber optic,No,Mailed check,No,Yes
4322-RCYMT,One year,DSL,Yes,Bank transfer (automatic),Yes,Yes
6680-NENYN,Two year,Fiber optic,No,Electronic check,Yes,Yes
2088-IEBAU,Two year,DSL,Yes,Electronic check,Yes,No
7982-VCELR,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
1343-EHPYB,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6035-BXTTY,Month-to-month,DSL,Yes,Bank transfer (automatic),No,No
6885-PKOAM,Two year,DSL,Yes,Credit card (automatic),No,No
7520-HQWJU,Month-to-month,DSL,No,Bank transfer (automatic),Yes,No
9639-BUJXT,One year,No,No internet service,Mailed check,No,No
5924-SNGKP,One year,No,No internet service,Credit card (automatic),Yes,No
0021-IKXGC,Month-to-month,Fiber optic,No,Electronic check,Yes,No
2034-GDRCN,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8966-SNIZF,Two year,No,No internet service,Bank transfer (automatic),No,No
6243-OZGFH,Month-to-month,DSL,No,Electronic check,Yes,No
4654-DLAMQ,One year,Fiber optic,No,Bank transfer (automatic),No,No
0513-RBGPE,Two year,DSL,Yes,Credit card (automatic),Yes,No
5160-UXJED,One year,DSL,No,Mailed check,No,No
4115-NZRKS,Month-to-month,Fiber optic,No,Electronic check,Yes,No
0219-YTZUE,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
0623-IIHUG,Month-to-month,DSL,No,Electronic check,Yes,Yes
4572-DVCGN,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
3351-NGXYI,Month-to-month,DSL,No,Electronic check,Yes,No
8984-EYLLL,Two year,Fiber optic,Yes,Electronic check,Yes,No
9057-MSWCO,Month-to-month,DSL,No,Credit card (automatic),No,Yes
9833-TGFHX,One year,Fiber optic,No,Electronic check,No,No
9294-TDIPC,Month-to-month,No,No internet service,Mailed check,No,No
5229-DTFYB,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
0104-PPXDV,One year,DSL,No,Credit card (automatic),No,No
5176-LMJXE,Two year,No,No internet service,Mailed check,Yes,No
3583-KRKMD,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes,No
1010-DIAUQ,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,Yes
9069-LGEUL,Month-to-month,DSL,No,Bank transfer (automatic),Yes,No
7302-ZHMHP,Month-to-month,No,No internet service,Mailed check,No,No
9571-EDEBV,One year,Fiber optic,No,Credit card (automatic),Yes,No
3520-FJGCV,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
6563-VRERX,One year,No,No internet service,Mailed check,No,No
0259-GBZSH,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6122-EFVKN,Two year,DSL,Yes,Mailed check,No,No
2805-EDJPQ,One year,Fiber optic,Yes,Credit card (automatic),Yes,No
6862-CQUMB,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
7156-MXBJE,One year,DSL,Yes,Credit card (automatic),No,No
6158-HDPXZ,Month-to-month,DSL,No,Mailed check,No,No
9601-BRXPO,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes
2863-IMQDR,Two year,DSL,Yes,Electronic check,No,No
5686-CMAWK,One year,Fiber optic,Yes,Electronic check,No,No
5651-CRHKQ,One year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
6905-NIQIN,Month-to-month,DSL,No,Mailed check,No,Yes
8204-YJCLA,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
5167-ZFFMM,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,Yes
6583-SZVGP,Two year,Fiber optic,No,Bank transfer (automatic),Yes,No
4895-TMWIR,Month-to-month,No,No internet service,Mailed check,No,Yes
